請求ID,有無,作業内容,リスト化,対象,保護者ID,生徒ID,対象　契約ID,対象　請求ID,対象　同ブランド,対象　チケットID,対象カテゴリー,請求カテゴリー区分,金額,請求単位,税区分,複数個,繰り返し,自動請求,開始日,終了日,顧客表記用請求名（契約、請求IDの請求は、そのすぐ下に表記）,終了条件,社長のIF文用備考,請求申請者申請許可,返金時の注意,元請求月謝,登録日時,登録ユーザー,最終更新日時,最終更新ユーザー
NB900592,1,1,1,1,8221660,221661,24KID_1000002,24KID_1000002_60,アンさんこくキッズ,,入会時教材費,88,2400,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】 2教科セット（4月・8月・12月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB9874511,1,1,1,1,8221660,221661,24KID_1000002,24KID_1000002_50,アンさんこくキッズ,,入会時授業料A,85,3980,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6254519,1,1,1,1,8221660,221661,24KID_1000002,24KID_1000002_8,アンさんこくキッズ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンさんこくキッズ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1072078,1,1,1,1,8221660,221661,24KID_1000002,24KID_1000002_54,アンさんこくキッズ,,入会時月会費,86,700,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1024192,1,1,1,1,8221660,221661,24KID_1000002,24KID_1000002_55,アンさんこくキッズ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_塾【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB4588926,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_53,アンプログラミングクラブ,,入会時授業料3,92,4362,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ３回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2142611,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_51,アンプログラミングクラブ,,入会時授業料1,90,1454,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ １回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1832470,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_61,アンプログラミングクラブ,,入会時教材費,88,3000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】マイクラコース 教材（4月・10月 ）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6713308,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_52,アンプログラミングクラブ,,入会時授業料2,91,2908,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB9334051,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_54,アンプログラミングクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3405022,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_50,アンプログラミングクラブ,,入会時授業料A,85,4800,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8447274,1,1,1,1,8112844,200546,24PRO_1000005,24PRO_1000005_55,アンプログラミングクラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6277956,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_55,アンそろばんクラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB7442777,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8564075,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【入会金】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3161153,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_54,アンそろばんクラブ,,入会時月会費,86,700,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB7288660,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_52,アンそろばんクラブ,,入会時授業料2,91,2120,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB4707774,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3833350,1,1,1,1,8222579,222580,24SOR_1000001,24SOR_1000001_60,アンそろばんクラブ,,入会時教材費,88,2000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1725602,1,1,1,1,8222544,222576,24AEC_1000009,24AEC_1000009_60,アンイングリッシュクラブ,,入会時教材費,88,12000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】Yellow,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB483673,1,1,1,1,8222544,222576,24AEC_1000009,24AEC_1000009_6,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1279075,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【入会金】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB9427941,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB5429851,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB7481951,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_54,アンそろばんクラブ,,入会時月会費,86,700,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8743827,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_52,アンそろばんクラブ,,入会時授業料2,91,2120,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6858679,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_55,アンそろばんクラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8851025,1,1,1,1,8222533,222534,24SOR_1000001,24SOR_1000001_60,アンそろばんクラブ,,入会時教材費,88,2000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6884855,1,1,1,1,8222565,222566,24SOR_1000005,24SOR_1000005_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6635119,1,1,1,1,8222565,222566,24SOR_1000005,24SOR_1000005_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB9526096,1,1,1,1,8222565,222566,24SOR_1000005,24SOR_1000005_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【入会金】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3500890,1,1,1,1,8222565,222566,24SOR_1000005,24SOR_1000005_60,アンそろばんクラブ,,入会時教材費,88,1500,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB7417148,1,1,1,1,8222542,222543,24AEC_1000069,24AEC_1000069_52,アンイングリッシュクラブ,,入会時授業料2,91,606,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6476745,1,1,1,1,8222542,222543,24AEC_1000069,24AEC_1000069_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB5872634,1,1,1,1,8222542,222543,24AEC_1000069,24AEC_1000069_60,アンイングリッシュクラブ,,入会時教材費,88,12000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】White,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2987247,1,1,1,1,8220631,220633,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2712700,1,1,1,1,8220631,220633,24AEC_1000067,24AEC_1000067_53,アンイングリッシュクラブ,,入会時授業料3,92,909,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ３回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2387666,1,1,1,1,8220631,220633,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,12000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】White,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1036185,1,1,1,1,8220631,220632,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,12000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】White,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB4463495,1,1,1,1,8220631,220632,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6860114,1,1,1,1,8220631,220632,24AEC_1000067,24AEC_1000067_53,アンイングリッシュクラブ,,入会時授業料3,92,909,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ３回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6970577,1,1,1,1,8222557,222558,24BMC_1000001,24BMC_1000001_61,アン美文字クラブ,,入会時教材費,88,2500,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】【毛筆】 教材（4月・8月・12月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1809107,1,1,1,1,8222557,222558,24BMC_1000001,24BMC_1000001_54,アン美文字クラブ,,入会時月会費,86,700,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3247126,1,1,1,1,8222557,222558,24BMC_1000001,24BMC_1000001_6,アン美文字クラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アン美文字クラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB9358530,1,1,1,1,8222557,222558,24BMC_1000001,24BMC_1000001_55,アン美文字クラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB5973410,1,1,1,1,8222557,222558,24BMC_1000001,24BMC_1000001_5,アン美文字クラブ,,入会金,80,5000,円,1,,1,1,2025/07/01,2025/07/31,アン美文字クラブ【入会金】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2621904,1,1,1,1,8222557,222558,24BMC_1000001,24BMC_1000001_52,アン美文字クラブ,,入会時授業料2,91,2120,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB7105717,1,1,1,1,8222294,222295,24SOR_1000005,24SOR_1000005_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【入会金】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2299578,1,1,1,1,8222294,222295,24SOR_1000005,24SOR_1000005_60,アンそろばんクラブ,,入会時教材費,88,1500,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8822673,1,1,1,1,8222294,222295,24SOR_1000005,24SOR_1000005_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8076930,1,1,1,1,8222294,222295,24SOR_1000005,24SOR_1000005_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/07/01,2025/07/31,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB7010942,1,1,1,2,8206011,222238,,,その他,,1,0,10000,円,1,,1,0,2025/07/01,2025/07/31,進学ジム中2教材費,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB4439322,1,1,1,2,8216905,8216905,,,その他,,1,0,1000,円,1,,1,0,2025/07/01,2025/07/31,6月分_Whiteクラス回数変更により過不足分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB6023850,1,1,1,2,8214247,214248,,,アンそろばんクラブ,,教材費,6,3000,円,1,,1,0,2025/07/01,2025/07/31,アンそろばんクラブ【教材費】 半年払い（4月・10月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB9565874,1,1,1,2,8214247,214248,,,アンそろばんクラブ,,設備費,3,500,円,1,,1,0,2025/07/01,2025/07/31,4月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB5806135,1,1,1,2,8214247,214248,,,アンそろばんクラブ,,月会費,2,700,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンそろばんクラブ【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB639259,1,1,1,2,8214247,214248,,,アンそろばんクラブ,,授業料,1,3500,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンそろばんクラブ【授業料】レギュラー 週1コマ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB2086359,1,1,1,2,8217423,217465,,,その他,,1,0,2500,円,1,,1,0,2025/07/01,2025/07/31,6月分_アン美文字クラブ【教材費】【毛筆】 教材,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB4812853,1,1,1,2,8217423,217465,,,その他,,1,0,3500,円,1,,1,0,2025/07/01,2025/07/31,6月分_アン美文字クラブ【授業料】【毛筆】 週1コマ (税別),１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB6550394,1,1,1,2,8208715,208716,,,アンそろばんクラブ,,教材費,6,3500,円,1,,1,0,2025/07/01,2025/07/31,アン美文字クラブ【教材費】【毛筆】レギュラー 教材（4月・8月・12月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6349765,1,1,1,1,8222349,222350,24AEC_1000065,24AEC_1000065_60,アンイングリッシュクラブ,,入会時教材費,88,12000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】White,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2353523,1,1,1,1,8222349,222350,24AEC_1000065,24AEC_1000065_50,アンイングリッシュクラブ,,入会時授業料A,85,1000,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB7068299,1,1,1,1,8222349,222350,24AEC_1000065,24AEC_1000065_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2348843,1,1,1,1,8222112,222145,24AEC_1000009,24AEC_1000009_55,アンイングリッシュクラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB721919,1,1,1,1,8222112,222145,24AEC_1000009,24AEC_1000009_6,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6205831,1,1,1,1,8222112,222145,24AEC_1000009,24AEC_1000009_60,アンイングリッシュクラブ,,入会時教材費,88,12000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】Yellow,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB8355607,1,1,1,1,8222112,222145,24AEC_1000009,24AEC_1000009_50,アンイングリッシュクラブ,,入会時授業料A,85,5980,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB4899262,1,1,1,1,8222112,222145,24AEC_1000009,24AEC_1000009_54,アンイングリッシュクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB9735388,1,1,1,1,8111727,15275,24AEC_1000027,24AEC_1000027_60,アンイングリッシュクラブ,,入会時教材費,88,5000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】英会話A,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB7433915,1,1,1,2,8208715,208716,,,アンそろばんクラブ,,設備費,3,500,円,1,,1,0,2025/07/01,2025/07/31,4月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB4095519,1,1,1,2,8208715,208716,,,アンそろばんクラブ,,月会費,2,700,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンそろばんクラブ【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB8283080,1,1,1,2,8208715,208716,,,アンそろばんクラブ,,授業料,1,5300,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンそろばんクラブ【授業料】レギュラー 週2コマ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB1554636,1,1,1,2,8221539,221546,,,その他,,1,0,12000,円,1,,1,0,2025/07/01,2025/07/31,アンイングリッシュクラブWhiteクラス【教材費】 ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB9520564,1,1,1,2,8221539,221546,,,その他,,1,0,12000,円,1,,1,0,2025/07/01,2025/07/31,アンイングリッシュクラブRedクラス【教材費】 ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB6059342,1,1,1,2,8221539,221546,,,その他,,1,0,1000,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンイングリッシュクラブ【月会費】 ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB9762168,1,1,1,2,8221539,221546,,,その他,,1,0,500,円,1,,1,0,2025/07/01,2025/07/31,4月分_カルチャー【設備費】 ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB5450451,1,1,1,2,8221539,221546,,,その他,,1,0,1000,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンイングリッシュクラブ【授業料】White リレー　40分×週1回　Whiteぽっきり価格 ,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB2352641,1,1,1,2,8221539,221540,,,その他,,1,0,5980,円,1,,1,0,2025/07/01,2025/07/31,4月分_アンイングリッシュクラブ【授業料】Red リレー　50分×週1回,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2449405,1,1,1,1,8222299,222306,24PRO_1000005,24PRO_1000005_50,アンプログラミングクラブ,,入会時授業料A,85,4800,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3602216,1,1,1,1,8222299,222306,24PRO_1000005,24PRO_1000005_53,アンプログラミングクラブ,,入会時授業料3,92,4362,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【授業料】(前払い制の為) _ ３回分,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB2563375,1,1,1,1,8222299,222306,24PRO_1000005,24PRO_1000005_55,アンプログラミングクラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB1084887,1,1,1,1,8222299,222306,24PRO_1000005,24PRO_1000005_54,アンプログラミングクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分【月会費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB5518288,1,1,1,1,8222299,222306,24PRO_1000005,24PRO_1000005_61,アンプログラミングクラブ,,入会時教材費,88,4000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】マイクラコース 教材（4月・10月 ）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB665454,1,1,1,2,8214542,214638,,,その他,,1,0,2000,円,2,,1,0,2025/07/01,2025/07/31,日本習字認定証2枚,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB6037021,1,1,1,2,8213503,214137,,,その他,,1,0,2000,円,2,,1,0,2025/07/01,2025/07/31,日本習字認定証2枚,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
TB1223516,1,1,1,2,8213952,213953,,,その他,,1,0,2000,円,2,,1,0,2025/07/01,2025/07/31,日本習字認定証2枚,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB5351646,1,1,1,1,8221892,221923,24SHO_1000001,24SHO_1000001_5,アン将棋クラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アン将棋クラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB3996423,1,1,1,1,8222399,222401,24BMC_1000003,24BMC_1000003_55,アン美文字クラブ,,入会時設備費,87,500,円,1,,1,1,2025/07/01,2025/07/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB6327065,1,1,1,1,8222399,222401,24BMC_1000003,24BMC_1000003_6,アン美文字クラブ,,バッグ,81,0,円,1,,1,1,2025/07/01,2025/07/31,アン美文字クラブ【バッグ】初回プレゼント,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
NB4906710,1,1,1,1,8222399,222401,24BMC_1000003,24BMC_1000003_61,アン美文字クラブ,,入会時教材費,88,2000,円,1,,1,1,2025/07/01,2025/07/31,入会時_【教材費】【硬筆】3マンツー 教材（4月・8月・12月）,１回だけ,,,,2025/07/01,2025-11-04 05:57:55.970186,,2025-09-03 08:23:01.577722,
